date,Abuse Level,Tweet Content,Interest
2017-08-27,1 ,"트젠은 성소수자가 아닙니다.트젠은 성이분법을 지지하며 가부장제에 순종적인 여성혐오를 돋구는 사람들일 뿐입니다. https://t.co/jsr4t0tCwF",19
2017-08-27,1 ,@nobody_came_yy ㅋㅋㅋㅋㅋㅋㅋ 아니 지가 트젠이나 트젠꿘이면 그 기준이 뭔지 공부정도는 하지않았을까요?ㅋㅋㅋㅋㅋ 왜 설명을 못하는건지 ㅉㅉㅉ,3
2017-08-27,1 ,@m00min_0_0 @Jo_nan_sil_ 그래서 님 말대로 저런 애들이 일부면 대체 왜 트젠 내부에서 자정이 안되냐고요ㅋㅋㅋㅋ 안그러는 트젠이나 씨디들이 야 그런거 하지마 그건 여혐이잖아 강간조성하는거 역겨워 이러면서 말리는게 왜 없냐고요 자정이 안되면 일부라고 우기는게 무슨소용이냐고ㅋㅋㅋㅋ,1
2017-09-16,1 ,트젠꿘들은 트젠의 권리를 원하는게 아니라 여자들의 권리를 차지하고싶은거다. https://t.co/bd939zOvgB,2
2017-10-10,1 ,아니 진자 트젠들 말하는거보면 백이면백 6나는 어렸을때부터 치마를 좋아햇고 핑크색을 좋아했고 긴머리를 좋아했고 어쩌고저쩌고 그런 여성성이 좋아서 전환했다9 하는데 나더러 트젠에 대해 잘 모르면 조용히하래;ㅅ; 나 뭐 트젠 전문가 되어야함?;;;;;,0
2017-11-13,1 ,"@Knice__ 1. 트랜스젠더는 기존 가부장제가 원하는 여성상을 강화시켜 여권을 떨어뜨립니다. 2. 시스여성은 트랜스젠더 여성or비트랜지션 트젠에게 당하는 범죄(성추행 성폭행 등)에 쉽게 노출되어 있습니다. 굉장히 비일비재합니다.",6
2017-11-13,1 ,@tuck9831 트젠이 가부장제 사회구조의 피해자이며 동시에 페미니즘과 양립할 수 없고 맨박스에 갇힌 남성들이고요. 남성으로서의 영역을 확장할 생각 않고 ‘나는 이것일 거다’ 믿는 여성으로서의 영역에 귀속되려 하는 거라고요.,3
2017-11-13,1 ,"@Knice__ 저는 트젠이 가부장제 사회구조의 피해자이지만, 동시에 페미니즘과 양립할 수 없는 가치를 지니신 분들이라 생각할수밖에 없습니다. 리버럴은 전자에 집중하는 것이고, 레디컬은 후자에 집중하는 거라고 생각하시면 됩니다.",2
2017-11-13,1 ,@helpmefindlife 여성의 몸을 가질 수는 있지만 대부분의 트젠은 그 몸에 우리가 버리고 싶어하는 것들로 치장을 해요. 가부장제는 그런 여성성들을 고착화시키는데 힘을 불어 넣어요. 그래서 페미니즘의 주요 목적 중 하나가 된거구요! 제가 체력이 고갈되서 명쾌한 답변을 드리지 못해서 죄송해요ㅛㅛ,0
2017-11-13,1 ,여자와 페미니스트에게 더욱 엄격한 윤리적 기준을 들이밀지 말라고 말하면서 왜 트젠에게는 자기들이 그걸 내밀지? 그래놓고 인권같은 소리하지마라 역겨우니까 니들이 말하는건 여성인권이 아니라 걍 니 억울함 토로뿐임,1
2017-11-14,1 ,트렌스젠더는 가부장제와 궤를같이하고있다는 말 공감한다. 실제로 동성애자는 처형하면서 트젠은 전환수술 비용까지 주는 나라도있고 멀리안가고 홍즌표발언만봐도 ㅋㅋ..,33
2017-11-14,1 ,특히 트젠의 경우 가부장제/콜셋 타파라는 랟펨과 아주 반대되는 노선을 가는 사람들인데 왜 끌어안으라고 징징거려 니네 갈길 가ㅋㅋㅋ 머리기르고 치마입고 싶고 가슴 엉덩이 라인 이쁘게 넣고 다니고 싶어서 여자로 살고 싶다는 그 길 가라고ㅋㅋㅋㅋ,1
2017-11-14,1 ,치마 입는 거?하이힐 신는 거?샤랄라하게 퍼지는 스커트 좋아하고 또각거리는 하이힐 소리가 좋을 수도 있지 뭐.근데 가부장적인 사회에서 자란 내가 여성으로서 봐은 것은 여자에게 항상 사회적으로 이런걸 강요하는 분위기인데 이걸 트젠이 생각하는 여성상이 실제적인 여성을 틀에박히게 만든다고봄,0
